City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,79.2,73,97,10.67,PF,1644103722
ushuaia,-54.8,-68.3,53.26,58,20,29.93,AR,1644103813
albany,42.6001,-73.9662,15.1,57,5,1.01,US,1644103842
castro,-24.7911,-50.0119,65.25,97,79,1.92,BR,1644104043
kapaa,22.0752,-159.319,80.19,64,0,3.0,US,1644103971
carnarvon,-24.8667,113.6333,78.87,83,40,11.5,AU,1644104044
vao,-22.6667,167.4833,80.28,86,27,12.48,NC,1644104044
sur,22.5667,59.5289,70.61,50,0,6.44,OM,1644104045
tura,25.5198,90.2201,47.64,91,0,2.84,IN,1644104045
zaltan,32.947,11.8665,59.68,47,99,3.65,LY,1644104045
kruisfontein,-34.0033,24.7314,66.88,81,67,14.12,ZA,1644104046
hermanus,-34.4187,19.2345,71.91,85,19,13.22,ZA,1644103965
chuy,-33.6971,-53.4616,66.27,89,44,9.48,UY,1644104046
vaini,-21.2,-175.2,75.36,100,100,14.97,TO,1644103948
butaritari,3.0707,172.7902,82.8,73,48,18.81,KI,1644104047
ulladulla,-35.35,150.4667,68.77,69,99,12.8,AU,1644104047
port alfred,-33.5906,26.891,70.41,86,88,25.75,ZA,1644104019
sao filipe,14.8961,-24.4956,72.97,73,0,9.42,CV,1644103828
olafsvik,64.8945,-23.7142,30.81,75,100,36.24,IS,1644103892
formosa,-26.1775,-58.1781,82.38,51,0,6.91,AR,1644103864
punta arenas,-53.15,-70.9167,59.11,63,75,21.85,CL,1644103944
todos santos,23.45,-110.2167,73.11,55,5,7.29,MX,1644104048
tuktoyaktuk,69.4541,-133.0374,-31.0,75,40,9.22,CA,1644104049
jamestown,42.097,-79.2353,12.33,67,0,0.0,US,1644103824
kaitangata,-46.2817,169.8464,51.4,73,96,7.58,NZ,1644103254
mataura,-46.1927,168.8643,56.48,55,96,3.27,NZ,1644103881
cape town,-33.9258,18.4232,72.12,66,0,1.01,ZA,1644104007
zalantun,48.0,122.7167,-2.04,89,50,6.13,CN,1644104049
luderitz,-26.6481,15.1594,66.22,82,92,10.22,NA,1644104050
saint george,37.1041,-113.5841,59.47,17,0,1.99,US,1644103906
busselton,-33.65,115.3333,71.89,70,12,6.69,AU,1644104050
asosa,10.0667,34.5333,60.06,30,27,6.13,ET,1644104050
port-gentil,-0.7193,8.7815,80.56,83,75,6.91,GA,1644104051
tarakan,3.3,117.6333,74.7,94,75,5.75,ID,1644104051
san rafael,-34.6177,-68.3301,61.97,57,64,5.46,AR,1644104051
lavrentiya,65.5833,-171.0,-14.6,95,8,9.86,RU,1644104052
calabozo,8.9242,-67.4293,87.87,36,31,6.76,VE,1644104052
nanortalik,60.1432,-45.2371,8.64,61,81,13.09,GL,1644104052
kyela,-9.5833,33.85,72.37,81,100,4.14,TZ,1644104053
okakarara,-20.5833,17.4333,66.04,88,99,3.85,NA,1644104053
avarua,-21.2078,-159.775,82.45,78,40,18.41,CK,1644103882
katobu,-4.9408,122.5276,80.46,80,94,3.94,ID,1644104053
pa sang,18.5262,98.9394,72.01,65,93,1.05,TH,1644104054
komsomolsk-na-amure,50.552,137.0152,-1.12,95,100,4.56,RU,1644104054
upernavik,72.7868,-56.1549,-3.3,98,100,5.01,GL,1644104055
yellowknife,62.456,-114.3525,-12.44,82,20,6.91,CA,1644104055
khorinsk,52.1657,109.7726,-0.74,98,94,2.59,RU,1644104055
fare,-16.7,-151.0167,80.92,74,13,20.54,PF,1644104056
puerto ayora,-0.7393,-90.3518,77.56,87,67,4.0,EC,1644103722
cayenne,4.9333,-52.3333,81.09,85,75,3.0,GF,1644104056
sao miguel do araguaia,-13.275,-50.1628,74.52,90,90,3.96,BR,1644104056
mar del plata,-38.0023,-57.5575,62.1,80,75,1.99,AR,1644103804
lianyuan,27.6883,111.6642,41.9,84,100,2.44,CN,1644104057
galabovo,42.139,25.8673,32.65,83,86,2.71,BG,1644104057
airai,-8.9266,125.4092,68.47,74,90,1.95,TL,1644104057
san andres,12.5847,-81.7006,82.42,69,40,13.8,CO,1644103887
mehamn,71.0357,27.8492,20.68,86,31,15.01,NO,1644104058
tual,-5.6667,132.75,83.39,74,90,8.84,ID,1644104058
fort nelson,58.8053,-122.7002,22.62,97,98,3.33,CA,1644104058
aguilas,37.4063,-1.5829,56.21,79,100,8.93,ES,1644104059
bundaberg,-24.85,152.35,78.22,64,40,5.01,AU,1644104059
umm kaddadah,13.6017,26.6876,55.33,23,82,17.85,SD,1644104059
santa isabel,-23.3156,-46.2214,78.1,96,99,4.23,BR,1644104060
lebu,-37.6167,-73.65,59.49,81,16,19.71,CL,1644104060
khatanga,71.9667,102.5,-20.58,97,99,3.94,RU,1644103889
vilhena,-12.7406,-60.1458,77.22,83,20,5.75,BR,1644104060
maniitsoq,65.4167,-52.9,3.6,96,100,6.76,GL,1644104061
hilo,19.7297,-155.09,77.25,81,100,5.75,US,1644103977
udachnyy,66.4167,112.4,-32.06,100,91,2.33,RU,1644104061
nemuro,43.3236,145.575,23.92,69,85,19.04,JP,1644104062
vestmannaeyjar,63.4427,-20.2734,28.04,76,90,16.06,IS,1644104062
goderich,43.7501,-81.7165,16.12,73,99,8.05,CA,1644104062
cabo san lucas,22.8909,-109.9124,73.62,64,0,10.36,MX,1644104063
loandjili,-4.7561,11.8578,77.11,94,20,4.61,CG,1644104063
qaqortoq,60.7167,-46.0333,1.9,74,61,6.02,GL,1644104063
tanta,30.7885,31.0019,46.09,91,1,4.65,EG,1644104064
tiksi,71.6872,128.8694,-22.16,98,94,7.34,RU,1644104064
east london,-33.0153,27.9116,69.6,87,100,17.31,ZA,1644104064
emerald,-23.5333,148.1667,78.94,50,0,12.66,AU,1644104065
komsomolskiy,40.4272,71.7189,38.62,32,100,6.91,UZ,1644104065
hobart,-42.8794,147.3294,67.01,66,75,1.01,AU,1644104065
constitucion,-35.3333,-72.4167,61.23,74,1,12.97,CL,1644104066
soller,39.7662,2.7152,52.86,87,99,1.01,ES,1644104066
natal,-5.795,-35.2094,81.25,74,0,6.91,BR,1644103861
provideniya,64.3833,-173.3,-2.18,83,2,10.78,RU,1644104066
shahrud,36.4182,54.9763,32.27,76,48,4.94,IR,1644104067
cockburn town,21.4612,-71.1419,75.16,57,40,11.5,TC,1644104067
cherskiy,68.75,161.3,-30.78,96,20,1.19,RU,1644104067
puerto del rosario,28.5004,-13.8627,65.88,88,0,10.36,ES,1644103800
barrow,71.2906,-156.7887,-18.38,69,0,11.5,US,1644104068
pierre,44.3683,-100.351,51.28,36,75,10.36,US,1644103319
ibipeba,-11.6408,-42.0111,70.02,88,89,7.05,BR,1644104068
qaanaaq,77.484,-69.3632,0.25,97,100,3.87,GL,1644103723
trairi,-3.2778,-39.2689,77.85,84,21,7.09,BR,1644104068
cairns,-16.9167,145.7667,83.07,77,40,11.5,AU,1644104069
vostok,46.4856,135.8833,-5.69,94,100,3.0,RU,1644103828
dunedin,-45.8742,170.5036,52.81,82,72,3.0,NZ,1644103805
ostersund,63.1792,14.6357,25.25,80,100,11.5,SE,1644104069
tasiilaq,65.6145,-37.6368,17.76,58,96,9.08,GL,1644104070
yumen,40.2833,97.2,15.17,42,100,13.47,CN,1644104070
atuona,-9.8,-139.0333,78.8,77,11,22.82,PF,1644104070
manaure,11.7751,-72.4445,77.65,75,39,20.87,CO,1644104071
severo-kurilsk,50.6789,156.125,29.37,83,93,11.83,RU,1644104071
